JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
,Splunk,"Houston, TX 77036 (Bellaire area)•Remote",24 days ago,2021-08-31,"
As a frontend software engineer, you will closely collaborate with UI/UX designers, Frontend Architects, and Product Managers to design and implement modern,…
","$95,000 a year",https://www.indeed.com/rc/clk?jk=84966e1071cf2123&fccid=aef928e89977f7f0&vjs=3
,Proximate Technologies Inc.,"Houston, TX",3 days ago,2021-08-31,"
Knowledge of software engineering practices and software lifecycle models.
Write well-designed, testable, efficient code.
Basic knowledge of Java, C#, .
",,https://www.indeed.com/rc/clk?jk=f6e5d4e271122689&fccid=dc6e9a20ec7fc1b0&vjs=3
,Splunk,"Houston, TX 77036 (Bellaire area)•Remote",30+ days ago,2021-08-31,"
Splunk's Cloud group is looking for a Software Engineer to help lead, design and develop continuous build and delivery for Cloud Infrastructure.
","$95,000 a year",https://www.indeed.com/rc/clk?jk=a96e32c4a6098108&fccid=aef928e89977f7f0&vjs=3
,Gimmal,"Houston, TX 77046 (Montrose area)",25 days ago,2021-08-31,"
Contributing on team of skilled developers to create new products or new versions of an existing product.
A Bachelor’s Degree in Computer Science, Mathematics,…
",,https://www.indeed.com/rc/clk?jk=e901124526ba2de4&fccid=cf4131de6d67379b&vjs=3
,Mphasis Limited,"Houston, TX•Temporarily Remote",Active 2 days ago,2021-08-31,"
Using software quality assurance tools and processes.
Design new or modify current computer software/firmware.
Understanding with FW/HW/software testing.
","$45,000 a year",https://www.indeed.com/company/Mphasis-Limited/jobs/Trainee-Software-Engineer-cf93b204671a9eef?fccid=7cbbd0c93fcb6c8e&vjs=3
,ABS,"Houston, TX",Just posted,2021-08-31,"
3-5 years of strong technical experiance in software development.
Analyze, architect, design, and develop software products with proper code comments and…
",,https://www.indeed.com/rc/clk?jk=9b5da67ac3ee178c&fccid=93f480e9ca33a501&vjs=3
,"JPMorgan Chase Bank, N.A.","Houston, TX•Remote",21 days ago,2021-08-31,"
Solid understanding of software engineering practices.
The position also involves managing the details of one's book of work, technical design, testing with…
",,https://www.indeed.com/rc/clk?jk=ad2582e0cd0aacad&fccid=aaf3b433897ea465&vjs=3
,New Era Technology,"Houston, TX 77056 (Galleria-Uptown area)",26 days ago,2021-08-31,"
28 days PTO to start.
A Developer working on our team will create scripts and call flows within the contact center and create custom CUIC Reporting.
",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfJG_xRG53mg9dqGX-4VxTWJDceace7w4jwCqXHg4RLgSXMyezSngbrqKG5q-YrO4BsrjBj60Ie6ttTrylRsVucmoUOoLGwBkR7dBkgBN16dJlfTD5uLaeQliDBhvpIhQOWkPmgewXGCkQNbMYKLgO8tY1vP4o9fmGZq37Tr1xL5jSF4WBlR9uFAEUJ1Q_NY7z_TWB_8Jblg5uWvbSQlaknvteCZzuHq0rjsBPneLaVI1hVSTZk0sN9agp69xD5EP4l6rRRl8HN3zKpy0s3RnBAhebBOSkLZklCoHrwTQiOPecW7N3JfFwaO077eow9zMmI2lGr6x6O8REiX_GfireVEKugIy3jfWxQL7ueT3zUDR30aQcAPUnjZLKCbOjGhwK79E25-kQV9sjmsAKQ7o6roHGhMpfcdzNijaNqFl8b3rg3SsF9H9-C33OQ_R2pWY9rK8PmEWYFg==&p=9&fvj=0&vjs=3
Software Developer,Tietronix,"Houston, TX 77058 (Clear Lake area)",30+ days ago,2021-08-31,"
Design, develop and test software application.
0 – 2 years of experience in software development.
Develop advanced algorithms (e.g. machine learning) to analyze…
",,https://www.indeed.com/rc/clk?jk=ea1d6d15d9a3cc77&fccid=04fae56a44fee2d9&vjs=3
,A-1 Personnel of Houston,"Houston, TX 77092 (Northwest area)•Temporarily Remote",Today,2021-08-31,"
Skills Needed/Experience: Full Stack developer.
Minimum two (2) years of programming/systems analysis experience.
BS in computer science or related field.
","$67,000 - $74,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ABRXDME8HEuEjjRMIDNwlfEw2PgclTAKXZdOIZNWohBablyCxUJd7Rmt_C4mR7kfoKnpCoqDHwfL-Vi3GjwAhDDGyZH3CfeMpfLkPaSNrUl-xCvoNASXIqXWC7sAfymdpOVWRhXMllFCozgW8WZPXxPJd5ms1_uVQNdE-pWSs6RwbGQ01N6R3lAnIv58RUXFbt1Ve5y9Glr3C2UBdMnwvkC2oFuZnVMww-b4KzlswxK5f3VxQ0Mckuq5JY7vWdjH5rrL7KmOvNnz9peOT9avrmG8BT7TkA9y-IWnJVwmBhfYC4EjHGsxFYHflTI1sSbQ66sKT0PS3htkc7PXyY-QiN2xst5yrl-QD4WFtjNyjv5c3e1piAdCPjFBDo5Tr16gMGa8di0DWX0ngO7lFdo20dhBgl5lWb2S8m7i8DpUXwJUsMUd3AZ_x3WGJ1CFBpnDv4ymJEH7L1BCtnl9RhIsfkBNxfIgQeVttTpOu-50veUuKh_HMKH5WkNqYeeAyz7RI=&p=11&fvj=1&vjs=3
,Jacobs,"Houston, TX 77002 (Downtown area)",30+ days ago,2021-08-31,"
Code novel mission planning and control software.
Implementing real-time safety-critical software.
Design and develop software for complex robotic and…
",,https://www.indeed.com/rc/clk?jk=2e1207e63ca3aed9&fccid=de56d7554bea5214&vjs=3
,IBM,"Houston, TX 77001",17 days ago,2021-08-31,"
3+ years of experience in professional software development experience.
Strong knowledge of QA methodology and automation tools, with demonstrated QA experience…
",,https://www.indeed.com/rc/clk?jk=ee63d9e2dcdf5474&fccid=de71a49b535e21cb&vjs=3
,Buddy Web Design & Development,"Pasadena, TX+1 location•Temporarily Remote",3 days ago,2021-08-31,"
We're seeking top talent that can create beautiful layouts and designs and translate them into functional, fast, responsive websites.
",$20 - $50 an hour,https://www.indeed.com/company/Buddy-Web-Design-&-Development/jobs/Freelance-Wordpress-Designer-Developer-7033190eecf2a7c8?fccid=c37ce1deb862e0b7&vjs=3
